COUNTS - 2014 - annual entries & exits,,,,,,,,,,,,,
"(C) Copyright, London Underground Limited, 2015",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,[ Weights,253,52,59,253,52,59,],,,,
Counts by station,,,,,,,,,Annual,,,,
 ,,,Entry,Entry,Entry,Exit,Exit,Exit,Entry + Exit,,,,
nlc,Station,Note,Weekday,Saturday,Sunday,Weekday,Saturday,Sunday,million,,,,
603,Highbury & Islington               , ,28128,21365,13984,28425,22196,15000,18.28,,,,
604,Highgate                           , ,8070,5673,3566,7934,5347,3567,5.04,,,,
606,Hillingdon                         , ,2932,2000,1315,2788,1851,1250,1.80,,,,
607,Holborn                            , ,57013,35375,21498,61040,39133,22129,36.32,,,,
608,Holland Park                       , ,5218,3204,2275,4924,3157,2209,3.16,,,,
609,Holloway Road                      , ,10645,7176,4903,10540,6663,4986,6.66,,,,
610,Hornchurch                         , ,3681,1791,983,3594,1831,989,2.15,,,,
611,Hounslow Central                   , ,6277,4372,3316,6280,4266,3186,4.01,,,,
612,Hounslow East                      , ,6873,5560,4037,7430,5454,4017,4.67,,,,
613,Hounslow West                      , ,5551,4522,3501,5345,4179,3297,3.61,,,,
614,Hyde Park Corner                   , ,7457,9291,8092,8153,8701,8043,5.84,,,,
615,Ickenham                           , ,1864,1040,654,1962,1030,701,1.16,,,,
616,Kennington                         , ,7722,6010,4063,7477,5835,4361,4.96,,,,
617,Kensal Green                       , ,3787,3056,1815,3269,2522,1645,2.28,,,,
618,Kensington (Olympia)               , ,1544,6745,4029,1569,6314,4121,1.95,,,,
619,Kentish Town                       , ,12725,8236,5466,12212,7391,4661,7.72,,,,
620,Kenton                             , ,3273,1900,1316,3070,1987,1238,1.96,,,,
621,Kew Gardens                        , ,5491,4007,2882,5502,4373,2958,3.56,,,,
622,Kilburn                            , ,12161,9843,6999,11793,9028,6964,7.87,,,,
623,Kilburn Park                       , ,5053,4254,3499,5088,4069,2998,3.38,,,,
625,King's Cross St. Pancras           , ,144672,106330,87488,135842,105060,82380,91.98,,,,
624,Kingsbury                          , ,7473,4604,3239,7313,4440,3130,4.59,,,,
626,Knightsbridge                      , ,31305,29187,20299,31258,33211,20351,21.47,,,,
627,Ladbroke Grove                     , ,9421,10827,5176,8664,7390,4227,6.08,,,,
628,Lambeth North                      , ,5334,5232,3537,5111,4933,3252,3.57,,,,
629,Lancaster Gate                     , ,9961,8110,6546,9801,7764,5767,6.55,,,,
630,Latimer Road                       , ,4038,2026,1214,4049,1835,1209,2.39,,,,
631,Leicester Square                   , ,57907,89915,54607,53482,85056,47675,43.31,,,,
632,Leyton                             , ,21676,18289,12615,20989,16288,12385,14.07,,,,
633,Leytonstone                        , ,17374,12905,8717,17052,12223,8878,11.05,,,,
634,Liverpool Street                   , ,113595,67751,57580,119957,69975,68031,73.66,,,,
635,London Bridge                      , ,116460,93996,57674,115763,90158,55008,74.98,,,,
636,Loughton                           , ,5343,2998,1594,5547,2921,1668,3.26,,,,
637,Maida Vale                         , ,5526,4060,2877,5172,3759,2808,3.45,,,,
638,Manor House                        , ,14313,11985,9110,13917,10639,9083,9.39,,,,
639,Mansion House                      , ,10976,3186,2877,11223,2399,2019,6.20,,,,
640,Marble Arch                        , ,24265,24108,17436,22285,20123,16953,16.11,,,,
641,Marylebone                         , ,20628,13541,9407,21792,14270,9526,13.30,,,,
642,Mile End                           , ,24501,18833,13107,23616,17311,13049,15.60,,,,
643,Mill Hill East                     ,A,2216,1115,695,2013,1334,817,1.29,,,,
646,Moor Park                          , ,1580,600,358,1514,592,348,0.89,,,,
645,Moorgate                           , ,45647,6366,4191,51569,7967,5202,25.90,,,,
647,Morden                             , ,14081,9407,6425,13267,8836,6282,8.62,,,,
648,Mornington Crescent                , ,7038,4929,13317,6419,3383,2263,4.76,,,,
649,Neasden                            , ,5641,3834,2594,5127,3591,2550,3.41,,,,
650,Newbury Park                       , ,8321,5214,3637,6375,4303,3245,4.62,,,,
653,North Acton                        , ,9301,5814,4186,8965,5328,3921,5.68,,,,
654,North Ealing                       , ,1506,945,620,1374,850,603,0.89,,,,
789,North Greenwich                    , ,34350,29217,23577,37376,32607,25763,24.27,,,,
656,North Harrow                       , ,3120,1564,982,2989,1414,977,1.82,,,,
659,North Wembley                      , ,2666,1986,1206,2572,1801,1138,1.66,,,,
655,Northfields                        , ,6711,4497,3070,6666,4267,3215,4.21,,,,
657,Northolt                           , ,7963,5756,3791,7769,5293,3631,4.99,,,,
660,Northwick Park                     , ,7435,3666,2759,7384,3423,2708,4.44,,,,
661,Northwood                          , ,4362,2320,1406,3815,2073,1402,2.46,,,,
662,Northwood Hills                    , ,2886,1536,966,2528,1364,873,1.63,,,,
663,Notting Hill Gate                  , ,24063,27547,15675,24627,32485,17544,17.40,,,,
664,Oakwood                            , ,4255,3717,2628,4578,3629,2769,2.94,,,,
665,Old Street                         , ,37390,21840,14261,38321,25400,13962,23.28,,,,
667,Osterley                           , ,3810,2960,2071,3857,2594,1822,2.46,,,,
668,Oval                               , ,10072,7637,5130,9861,6986,4946,6.40,,,,
669,Oxford Circus                      , ,143996,118485,71379,157520,138779,78627,98.51,,,,
670,Paddington                         , ,77859,52793,43878,76334,50338,39338,49.28,,,,
671,Park Royal                         , ,3289,1819,1140,3243,1858,1116,1.98,,,,
672,Parsons Green                      , ,11178,6947,4019,11063,6438,4050,6.80,,,,
673,Perivale                           , ,3725,2582,1636,3719,2444,1633,2.34,,,,
674,Piccadilly Circus                  , ,59609,74166,45614,58874,75303,42246,42.93,,,,
776,Pimlico                            , ,18448,11377,8565,18054,11219,8542,11.42,,,,
675,Pinner                             , ,4783,2591,1558,4667,2446,1567,2.84,,,,
676,Plaistow                           , ,10882,7166,5316,10595,6752,5340,6.79,,,,
677,Preston Road                       , ,5638,3444,2612,5522,3292,2487,3.47,,,,
678,Putney Bridge                      , ,9113,6223,4196,9813,6251,4201,5.93,,,,
680,Queen's Park                       , ,9383,6546,5323,8673,5656,5549,5.84,,,,
679,Queensbury                         , ,6788,4136,2912,6800,3928,2817,4.20,,,,
681,Queensway                          , ,10718,11121,8707,10677,11061,8621,7.59,,,,
682,Ravenscourt Park                   , ,4842,2743,1806,4674,2529,2029,2.91,,,,
683,Rayners Lane                       , ,7067,4259,2905,7116,4117,2983,4.37,,,,
684,Redbridge                          , ,4729,3503,2472,4343,3007,2186,2.91,,,,
685,Regent's Park                      , ,5567,3041,2213,6389,4061,3160,3.71,,,,
686,Richmond                           ,A,12837,12952,6598,12327,12079,6631,8.45,,,,
687,Rickmansworth                      , ,4306,1855,1081,4026,1725,1041,2.42,,,,
688,Roding Valley                      ,A,501,201,106,381,171,107,0.26,,,,
690,Royal Oak                          , ,4441,2664,1926,4287,2498,1927,2.70,,,,
691,Ruislip                            , ,3022,1927,1322,3061,1927,1330,1.90,,,,
692,Ruislip Gardens                    , ,1938,1248,704,1548,1063,686,1.08,,,,
693,Ruislip Manor                      , ,3295,1896,1151,3210,1802,1175,1.98,,,,
694,Russell Square                     , ,19484,15997,12606,19770,16628,11951,13.08,,,,
698,Seven Sisters                      , ,24995,20795,15161,23293,17995,14246,15.97,,,,
700,Shepherd's Bush (Cen)              , ,34956,31662,21090,33201,29917,19995,22.87,,,,
775,Shepherd's Bush (H&C)              , ,5810,5369,3333,5132,4593,3047,3.66,,,,
702,Sloane Square                      , ,25837,20551,12501,26029,21298,12308,16.76,,,,
703,Snaresbrook                        , ,5140,2608,1555,4115,2370,1521,2.78,,,,
704,South Ealing                       , ,5726,4390,2807,5818,4142,2889,3.70,,,,
707,South Harrow                       , ,3881,2761,1846,4020,2750,1851,2.50,,,,
708,South Kensington                   , ,52892,45625,36673,54546,49722,36581,36.46,,,,
709,South Kenton                       ,A,1885,1103,628,1724,1017,721,1.10,,,,
710,South Ruislip                      , ,2881,2067,1285,2676,1924,1213,1.76,,,,
711,South Wimbledon                    , ,7077,4428,2882,6618,4476,3089,4.28,,,,
712,South Woodford                     , ,7287,4826,2669,8999,5722,3475,5.03,,,,
705,Southfields                        , ,10108,7189,4470,9367,6090,4283,6.13,,,,
706,Southgate                          , ,8522,6230,4053,9184,6404,4372,5.63,,,,
784,Southwark                          , ,23624,9858,6415,24951,10991,6674,14.15,,,,
695,St. James's Park                   , ,28696,8059,5671,27550,7954,5638,15.73,,,,
696,St. John's Wood                    , ,12063,7591,5491,12323,7632,5633,7.62,,,,
697,St. Paul's                         , ,28358,15846,10640,29905,14555,9997,17.54,,,,
713,Stamford Brook                     , ,4402,2796,1780,4275,2464,1674,2.67,,,,
714,Stanmore                           , ,6020,4337,2889,6218,4277,2995,3.89,,,,
715,Stepney Green                      , ,8989,5851,4070,8362,4952,3998,5.43,,,,
716,Stockwell                          , ,18316,12343,8657,14534,10838,8359,10.52,,,,
717,Stonebridge Park                   , ,4217,2639,1681,4249,2543,1697,2.61,,,,
719,Stratford                          , ,86183,92110,61847,83030,88485,58602,59.31,,,,
720,Sudbury Hill                       , ,3563,2278,1468,3564,2239,1469,2.21,,,,
